DL_NUMBER,FNAME,MNAME,LNAME,PHONE_NUMBER,EMAIL_ID,STREET,CITY,STATE_NAME,ZIPCODE,M_TYPE,MEMBERSHIP_ID
E7521097,MITA,NULL,RANA,2147483647,mitarana@gmail.com,367 MEANDERING WAY,HOUSTON,TEXAS,76245,N,NULL
F0091266,MIKE,NULL,BOYEAR,2147483647,mikeboy@gmail.com,1007 DALLAS PARKWAY,DALLAS,TEXAS,72212,N,NULL
F1234554,NAVEEN,NULL,RAJ,2147483647,naveen@gmail.com,700 CAMPBELL RD,RICHARDSON,TEXAS,75080,M,M1001
F2345611,SURESH,KUMAR,GOPALAKRISHNAN,2147483647,suresh2234@gmail.com,6547 CANOGA AVE,CANOGA PARK,CALIFORNIA,91303,N,NULL
F9764521,NIVEDITHA,NULL,VARADHA CHANDRASEKARAN,2147483647,nivi07@gmail.com,800 RENNER RD,RICHARDSON,TEXAS,75080,M,M1002
I3478953,MARK,S,TOWNSEND,2147483647,markstown@gmail.com,7825 MCCALLUM BLVD,DALLAS,TEXAS,75252,M,M1003
P1234567,CHRIS,NULL,ALEXANDER,9902489,chrisalex@gmail.com,2256 WALL STREET,NEWARK,NEW JERSEY,65289,M,M1005
R8763578,MARK,NULL,HUFF,2147483647,markhuff@gmail.com,1445 ROSS AVE,DALLAS,TEXAS,75202,N,NULL
T0981237,DANISH,NULL,HASSAN,2147483647,danishhasan@gmail.com,888 PRESTON ROAD,DULLES,VIRGINIA,92367,M,M1004
V5690245,VELA,R,REYNALDO,2147483647,reyvela@gmail.com,0099 ALMA ROAD,DULLES,VIRGINIA,97325,N,NULL
